user_geodata_id,hash_digest,name,state,place,pop100_agg,pop100_real,hu100_agg,hu100_real,missing_blocks,wrong_blocks
1,9468bda0d5dab2f5afaff6a448195caf,Chicago Community Areas,17,14000,2746412,2746388,1262619,1262612,0,6
2,04ad7fb6876a3ae56965b19774f1ec0d,NYC Community Districts,36,51000,8802440,8804190,3617937,3618635,16,5
3,dab8d2ab2f8880ea0ad315a59156b71d,"Providence, RI Neighborhoods",44,59000,190993,190934,75276,75257,0,8
9,2a2f6da72c44ad7d6e9f27223f9c1888,"Portland, OR Neighborhood Boundaries",41,59000,660899,652503,305502,302034,14,275
7,86eb8025c9b60b059fad04a1e13c9e8c,"Atlanta, GA Neighborhoods",13,04000,474484,498715,246385,258245,110,8
4,d814a70faabd893b5fe691848b06cca2,Boston Neighborhoods,25,07000,675308,675647,301426,301702,5,1
11,17f4213c42af34b1e69fe87e6c43515a,"Pittsburgh, PA Neighborhoods",42,61000,302523,302971,157354,157695,2,2
6,5ba3cab8f46894e47a97ad37ca7ccae6,"Washington, DC Neighborhood Clusters",11,50000,689555,689545,350365,350364,0,4
8,c0555dd6f342dbdf6621585646508230,"Detroit, MI Neighborhoods",26,22000,639089,639111,309910,309913,3,19
10,62b0492021125be2af7587a4fda18085,Philadelphia Neighborhoods,42,60000,1603778,1603797,726788,726797,1,3
87,c169f7d97bf189daaf790d75e7b98932,"Birmingham, AL Neighborhoods",01,07000,200644,200733,106637,106713,13,57
20,55e4cbbd5e9f5f864ed5f3b9e6e5ebe3,"Syracuse, NY Common Council Districts",36,73000,148620,148620,66791,66791,0,2
15,36d2af1df79fb181a398dafee8b9fb96,"Denver, CO Statistical Neighborhoods",08,20000,715522,715522,344980,344980,0,0
23,9d84465518b51ad727cd94ab7a31f62d,St. Louis neighborhoods,29,65000,301562,301578,173477,173479,2,0
24,ffe1fad0214df2636c99fadfbf859f56,"Washington, DC Wards",11,50000,689555,689545,350365,350364,0,6
85,99294f0d1d184d383d75bf6d2a25d6cb,"Seattle, WA Neighborhood Map Atlas Districts",53,63000,735725,737015,367570,368308,23,0
12,c96480ea3b6c6957f603a4c3e0d09849,"Seattle, WA Community Reporting Areas",53,63000,735740,737015,367571,368308,22,0
46,a17613830d37236a82cfb5c47e0de017,Sacramento City Council Districts,06,64000,524963,524943,202233,202231,0,10
44,e81bec3aad4555190c63db84c58eeb20,"Richmond, VA neighborhoods",51,67000,226610,226610,111963,111963,0,3
91,0106c5185819158edd5e676fccddfeee,"Baltimore, MD Neighborhoods",24,04000,585727,585708,293247,293249,3,4
94,25c22a77f7386f75c8a53ba8aec5d215,"Minneapolis, MN Neighborhoods",27,43000,429956,429954,199144,199143,0,4
95,3f6e12cd367089ec55787de253a4f0ec,"San Francisco, CA Supervisor Districts (2012 Redistricting)",06,67000,873965,873965,406628,406628,0,0
97,6ff472721bbaee97d53984840921e034,"Oakland, CA Council Districts",06,53000,440749,440646,178531,178469,0,1
